label,column,delta,p,delta_abs,p_abs,p_fdr,p_fdr_abs,univariate_flag,nonlinear_flag
pure,Laser_Head_Remain_Time,-0.002488019048663803,0.6677129905492454,-0.00239531256917791,0.6793918860331265,0.7440230466120162,0.760752348218006,False,False
pure,Vibration,0.07733470293328737,1.292080543795576e-40,-0.06576556278974921,7.644126004199674e-30,8.398523534671244e-40,2.1294351011699092e-29,False,False
pure,Kerf_Width_Profile,-0.07856554547521521,7.31154473864544e-42,-0.09834612029565526,1.3955915213503642e-64,5.703004896143444e-41,1.0885613866532841e-63,False,False
pure,Top_Kerf,-0.07167277453822885,3.962488034237163e-35,-0.0956312016875085,3.6419774833654005e-61,1.4048821212295397e-34,2.3672853641875104e-60,False,False
pure,Bottom_Kerf,-0.06649690595613844,1.7917358234234085e-30,-0.099774574388794,2.0370193120866938e-66,4.991264079536638e-30,1.9860938292845264e-65,False,False
pure,Kerf_Angle,-0.07612154787145387,2.0969124806380868e-39,-0.06196534685224542,1.113642282782794e-26,1.1682798106412198e-38,2.5548264134428802e-26,False,False
pure,Groove_Depth,0.07170067394957336,3.73200466358609e-35,-0.08040552558470293,9.185864429255632e-44,1.4048821212295397e-34,3.582487127409697e-43,False,False
pure,Package_Size_1,0.0673388557047141,3.306693030781058e-31,-0.07400197709599454,2.458096603698284e-37,9.920079092343174e-31,7.374289811094853e-37,False,False
pure,Package_Size_2,0.05531752068481399,1.3659960097547131e-21,-0.0524875465427862,1.349015714094323e-19,3.1337555517902243e-21,2.9228673805376995e-19,False,False
pure,Package_Size_3,-0.06270350603432229,2.797278868159106e-27,-0.06271825811321918,2.7200683002709906e-27,6.818367241137821e-27,7.072177580704575e-27,False,False
pure,Package_Size_4,-0.06536955318522131,1.6657193668100823e-29,-0.07568884172120038,5.605204986107033e-39,4.3308703537062135e-29,1.8216916204847857e-38,False,False
pure,Coating_Thickness,0.00741344490413387,0.20084982853513522,-0.008710363699856227,0.13286284255880068,0.31332573251481094,0.19929426383820104,False,False
pure,Coating_Uniformity,0.005257486943803125,0.3643328820756718,-0.0048707183611353955,0.4006809121326105,0.4615534501712163,0.5388467439024761,False,False
pure,Surface_Roughness,0.6063168364551894,0.0,0.37929865874999535,0.0,0.0,0.0,True,True
pure,Cooling_Thermal_Load,-0.0305770217390835,1.3215277465667646e-07,-0.010944763278928682,0.05896736508729049,2.5769791058051914e-07,0.09582196826684704,False,False
pure,Laser_Cleaning_Demand,0.07896384505544529,2.8590224243121245e-42,-0.09439265434724431,1.2258589056245292e-59,2.7875468637043215e-41,6.829785331336662e-59,False,False
pure,Cleaning_Capacity,0.009830785578416767,0.08984269204500454,-0.017611401508581426,0.002375895772587288,0.15234195607631204,0.0044123778633763915,False,False
pure,Cleaning_Load_Ratio,0.035237955149020506,1.2014935779185092e-09,-0.04352066777589969,5.950608964452007e-14,2.4662236599379924e-09,1.2214407874401486e-13,False,False
pure,Package_Size_Asymmetry,-0.07491244120450857,3.228581085603266e-38,-0.07977957420434645,4.117937266487249e-43,1.3990518037614153e-37,1.4599959399363884e-42,False,False
pure,Maintenance_Count,-0.011101107402220478,0.05517403831935424,-0.002359036734060016,0.6827264663494925,0.09780852247521887,0.760752348218006,False,False
